"c_city","c_country","ipc_class_symbol","name_0","name_1","city","coordinates","lng","lat","filing_date"
1,1,"A01G  23/00","Ireland","Dublin","Dublin","0101000020E6100000C2120F289BB218C0B6847CD0B3B94A40",-6.17442,53.4508,"2008-06-13"
1,1,"A01G  23/00","Japan","Fukui","Fukui","0101000020E61000000AD7A3703D0A61407E8CB96B09014240",136.32,36.0081,"2008-09-29"
1,1,"A01G  23/00","Japan","Gifu","Gifu","0101000020E6100000D34D621058196140A835CD3B4EB94140",136.792,35.4477,"2008-04-30"
1,1,"A01G  23/00","Japan","Gifu","Hashima","0101000020E61000007593180456166140BEC1172653A54140",136.698,35.2916,"2008-04-30"
1,1,"A01G  23/00","Japan","Gifu","Kakamigahara","0101000020E61000004260E5D0221B6140EC2FBB270FB34140",136.848,35.3989,"2008-04-30"
1,1,"A01G  23/00","Japan","Hiroshima","Hiroshima","0101000020E6100000105839B4C88E60404703780B24384140",132.462,34.4386,"2008-07-15"
1,1,"A01G  23/00","Japan","Hiroshima","Hiroshima","0101000020E61000003BDF4F8D978E6040E09C11A5BD314140",132.456,34.3886,"2008-01-15"
2,2,"A01G  23/00","Japan","Hokkaido","Asahikawa","0101000020E6100000F0A7C64B37CD6140A4DFBE0E9CE34540",142.413,43.7782,"2008-04-17"
1,1,"A01G  23/00","Japan","Hyōgo","Tamba","0101000020E61000003108AC1C5AE060408F53742497974140",135.011,35.1843,"2008-05-14"
1,1,"A01G  23/00","Japan","Iwate","Ōshū","0101000020E61000008716D9CEF7A361400E2DB29DEF8F4340",141.124,39.1245,"2008-08-01"
1,1,"A01G  23/00","Japan","Kanagawa","Atsugi","0101000020E6100000448B6CE7FB69614030BB270F0BBD4140",139.312,35.4769,"2008-01-29"
1,1,"A01G  23/00","Japan","Kanagawa","Kawasaki","0101000020E6100000A8C64B37897561403F355EBA49C44140",139.673,35.5335,"2008-06-19"
1,1,"A01G  23/00","Japan","Kochi","Nakatosa","0101000020E61000005C8FC2F528A46040BBB88D06F0AE4040",133.13,33.3667,"2008-01-24"
1,1,"A01G  23/00","Japan","Kochi","Susaki","0101000020E6100000D578E92631A860402EFF21FDF6AD4040",133.256,33.3591,"2008-01-24"
1,1,"A01G  23/00","Japan","Nagano","Ina","0101000020E610000052B81E85EB3D6140105839B4C8EE4140",137.935,35.8655,"2008-09-30"
1,1,"A01G  23/00","Japan","Osaka","Higashiōsaka","0101000020E6100000986E1283C0F26040D8F0F44A59564140",135.586,34.6746,"2008-05-14"
1,1,"A01G  23/00","Japan","Osaka","Hirakata","0101000020E6100000D34D621058F56040598638D6C5654140",135.667,34.7951,"2008-10-27"
2,2,"A01G  23/00","Japan","Osaka","Osaka","0101000020E61000008716D9CEF7EF604035EF3845475A4140",135.499,34.7053,"2008-03-11"
1,1,"A01G  23/00","Japan","Osaka","Osaka","0101000020E61000008716D9CEF7EF604035EF3845475A4140",135.499,34.7053,"2008-07-03"
1,1,"A01G  23/00","Japan","Osaka","Osaka","0101000020E6100000F2D24D6210F060401B9E5E29CB584140",135.502,34.6937,"2008-09-17"
1,1,"A01G  23/00","Japan","Tokyo","Tokyo","0101000020E6100000AE47E17A147661400DE02D90A0D84140",139.69,35.6924,"2008-06-19"
1,1,"A01G  23/00","South Korea","Chungcheongnam-do","Seosan","0101000020E6100000E5D022DBF99E5F40C8073D9B55674240",126.484,36.8073,"2008-03-24"
1,1,"A01G  23/00","South Korea","Gangwon-do","Gangneung","0101000020E610000079E92631081C604063EE5A423EE04240",128.876,37.7519,"2008-03-24"
1,1,"A01G  23/00","Sweden","Västerbotten","Skellefteå","0101000020E6100000B1BFEC9E3C7C3440C3F5285C8F265040",20.4853,64.6025,"2008-10-09"
1,1,"A01G  23/00","Sweden","Västra Götaland","Tibro","0101000020E6100000B1506B9A775C2C4021B0726891354D40",14.1806,58.4185,"2008-07-02"
1,1,"A01G  23/00","United States","California","San Diego","0101000020E61000001B2FDD2406315DC0DE718A8EE46A4040",-116.766,32.8351,"2008-12-11"
1,1,"A01G  25/00","Austria","Oberösterreich","Linz","0101000020E61000001895D40968A22C40F5B9DA8AFD254840",14.3172,48.2968,"2008-08-26"
1,1,"A01G  25/00","Canada","Alberta","Hines Creek","0101000020E61000005839B4C876A65DC0E4839ECDAA1F4C40",-118.601,56.2474,"2008-10-31"
1,1,"A01G  25/00","China","Beijing","Beijing","0101000020E61000007D3F355EBA195D4050FC1873D7F24340",116.402,39.8972,"2008-09-28"
1,1,"A01G  25/00","China","Beijing","Beijing","0101000020E61000007B14AE47E1125D40764F1E166A054440",116.295,40.0423,"2008-10-17"
1,1,"A01G  25/00","China","Beijing","Beijing","0101000020E61000003BDF4F8D97165D40545227A089004440",116.353,40.0042,"2008-10-17"
1,1,"A01G  25/00","China","Beijing","Beijing","0101000020E6100000D7A3703D0A175D4063EE5A423E004440",116.36,40.0019,"2008-05-21"
1,1,"A01G  25/00","China","Beijing","Beijing","0101000020E61000006666666666165D407F6ABC7493004440",116.35,40.0045,"2008-01-21"
1,1,"A01G  25/00","China","Beijing","Beijing","0101000020E61000006666666666165D407F6ABC7493004440",116.35,40.0045,"2008-07-25"
1,1,"A01G  25/00","China","Chongqing","Chongqing","0101000020E61000006DE7FBA9F1A25A40917EFB3A708E3D40",106.546,29.5564,"2008-03-07"
1,1,"A01G  25/00","China","Gansu","Lanzhou","0101000020E610000052B81E85EBF15940E5F21FD26F074240",103.78,36.0581,"2008-06-24"
1,1,"A01G  25/00","China","Guangdong","Zhongshan","0101000020E610000054E3A59BC4585C40C286A757CA823640",113.387,22.5109,"2008-11-09"
1,1,"A01G  25/00","China","Guangxi","Nanning","0101000020E6100000C3F5285C8F125B4068B3EA73B5D53640",108.29,22.8348,"2008-05-06"
1,1,"A01G  25/00","China","Guangxi","Nanning","0101000020E61000003333333333135B402AA913D044D83640",108.3,22.8448,"2008-05-06"
1,1,"A01G  25/00","China","Guizhou","Guiyang","0101000020E610000014AE47E17AAC5A404F1E166A4D933A40",106.695,26.5754,"2008-05-23"
1,1,"A01G  25/00","China","Hebei","Tangshan","0101000020E61000004260E5D0228B5D400E2DB29DEFCF4340",118.174,39.6245,"2008-05-26"
1,1,"A01G  25/00","China","Heilongjiang","Harbin","0101000020E6100000FED478E926A95F4044696FF085D94640",126.643,45.6994,"2008-04-28"
1,1,"A01G  25/00","China","Hubei","Wuhan","0101000020E610000046B6F3FDD4985C40FC1873D712823E40",114.388,30.5081,"2008-12-24"
1,1,"A01G  25/00","China","Hubei","Wuhan","0101000020E6100000B6F3FDD478995C405227A089B0813E40",114.398,30.5066,"2008-01-25"
1,1,"A01G  25/00","China","Hubei","Wuhan","0101000020E61000000AD7A3703D9A5C4082E2C798BB863E40",114.41,30.5263,"2008-11-27"
1,1,"A01G  25/00","China","Jiangsu","Zhenjiang","0101000020E61000001B2FDD2406E15D4099BB96900F1A4040",119.516,32.2036,"2008-02-26"
1,1,"A01G  25/00","China","Jiangsu","Zhenjiang","0101000020E610000037894160E5E05D40A9A44E4013194040",119.514,32.1959,"2008-02-26"
1,1,"A01G  25/00","China","Jiangsu","Zhenjiang","0101000020E610000037894160E5E05D40A9A44E4013194040",119.514,32.1959,"2008-11-25"
1,1,"A01G  25/00","China","Jiangsu","Zhenjiang","0101000020E610000037894160E5E05D40A9A44E4013194040",119.514,32.1959,"2008-12-02"
1,1,"A01G  25/00","China","Jiangxi","Pingxiang","0101000020E6100000355EBA490C7A5C40F0A7C64B37893B40",113.907,27.536,"2008-11-02"
1,1,"A01G  25/00","China","Liaoning","Fuxin","0101000020E6100000B4C876BE9F6A5E40A5BDC11726034540",121.666,42.0246,"2008-09-11"
1,1,"A01G  25/00","China","Liaoning","Fuxin","0101000020E6100000B4C876BE9F6A5E40A5BDC11726034540",121.666,42.0246,"2008-10-14"
1,1,"A01G  25/00","China","Liaoning","Shenyang","0101000020E61000002506819543DB5E4083C0CAA145E64440",123.426,41.799,"2008-01-02"
1,1,"A01G  25/00","China","Liaoning","Shenyang","0101000020E61000002506819543DB5E4083C0CAA145E64440",123.426,41.799,"2008-04-11"
1,1,"A01G  25/00","China","Shaanxi","Xianyang","0101000020E6100000A245B6F3FD2C5B4061C3D32B65294140",108.703,34.3234,"2008-04-29"
1,1,"A01G  25/00","China","Shaanxi","Xianyang","0101000020E6100000A245B6F3FD2C5B4061C3D32B65294140",108.703,34.3234,"2008-07-24"
1,1,"A01G  25/00","China","Shandong","Qingdao","0101000020E6100000E3A59BC420185E400F9C33A2B4074240",120.377,36.0602,"2008-04-21"
1,1,"A01G  25/00","China","Shandong","Tai An","0101000020E610000048E17A14AE475D4062105839B4184240",117.12,36.193,"2008-09-04"
1,1,"A01G  25/00","China","Shandong","Tai An","0101000020E61000001283C0CAA1455D40C4B12E6EA3194240",117.088,36.2003,"2008-09-04"
2,2,"A01G  25/00","China","Shandong","Tai An","0101000020E61000006891ED7C3F455D4054E3A59BC4184240",117.082,36.1935,"2008-05-23"
1,1,"A01G  25/00","China","Shandong","Tai An","0101000020E61000006891ED7C3F455D4054E3A59BC4184240",117.082,36.1935,"2008-05-28"
1,1,"A01G  25/00","China","Shanghai","Shanghai","0101000020E610000077BE9F1A2F5D5E406C787AA52C533F40",121.456,31.3249,"2008-10-30"
1,1,"A01G  25/00","China","Shanghai","Shanghai","0101000020E610000096438B6CE75B5E40CE88D2DEE03B3F40",121.436,31.2339,"2008-06-30"
1,1,"A01G  25/00","China","Shanghai","Shanghai","0101000020E6100000CBA145B6F35D5E40D34D621058393F40",121.468,31.224,"2008-02-28"
2,2,"A01G  25/00","China","Sichuan","Chengdu","0101000020E610000096438B6CE7035A40E25817B7D1903E40",104.061,30.5657,"2008-06-16"
1,1,"A01G  25/00","China","Sichuan","Chengdu","0101000020E61000001283C0CAA1055A4004E78C28ED8D3E40",104.088,30.5544,"2008-02-14"
1,1,"A01G  25/00","China","Zhejiang","Ningbo","0101000020E6100000FCA9F1D24D6A5E409FABADD85FF63D40",121.661,29.9624,"2008-08-13"
2,2,"A01G  25/00","China","Zhejiang","Shaoxing","0101000020E6100000DBF97E6ABC245E40F5B9DA8AFD053E40",120.574,30.0234,"2008-04-20"
1,1,"A01G  25/00","China","Zhejiang","Wenzhou","0101000020E61000003108AC1C5A2C5E4022FDF675E0FC3B40",120.693,27.9878,"2008-03-02"
1,1,"A01G  25/00","China","Zhejiang","Wenzhou","0101000020E61000003108AC1C5A2C5E4022FDF675E0FC3B40",120.693,27.9878,"2008-03-09"
1,1,"A01G  25/00","China","Zhejiang","Wenzhou","0101000020E61000003108AC1C5A2C5E4022FDF675E0FC3B40",120.693,27.9878,"2008-03-17"
1,1,"A01G  25/00","China","Zhejiang","Wenzhou","0101000020E61000003108AC1C5A2C5E4022FDF675E0FC3B40",120.693,27.9878,"2008-03-31"
1,1,"A01G  25/00","China","Zhejiang","Wenzhou","0101000020E61000003108AC1C5A2C5E4022FDF675E0FC3B40",120.693,27.9878,"2008-04-05"
2,2,"A01G  25/00","Germany","Baden-Württemberg","Berghülen","0101000020E61000004BB0389CF9852340DE9387855A3B4840",9.76167,48.4637,"2008-07-07"
1,1,"A01G  25/00","Germany","Baden-Württemberg","Ulm","0101000020E6100000868F882991E4234041F163CC5D2B4840",9.94642,48.3388,"2008-12-18"
1,1,"A01G  25/00","Germany","Niedersachsen","Seelze","0101000020E61000008E9257E7183023405F984C158C324A40",9.59394,52.3949,"2008-09-26"
2,2,"A01G  25/00","Germany","Nordrhein-Westfalen","Windeck","0101000020E6100000A5A0DB4B1A431E40BE9F1A2FDD644940",7.56553,50.788,"2008-08-01"
1,1,"A01G  25/00","Israel","HaDarom","HaDarom","0101000020E6100000B98D06F016704140D712F241CFB63E40",34.8757,30.7141,"2008-05-27"
1,1,"A01G  25/00","Israel","HaDarom","HaDarom","0101000020E6100000B98D06F016704140D712F241CFB63E40",34.8757,30.7141,"2008-08-18"
